"","unique.id","species","number.caught","weight.caught"
"282","P-1971-091-55",41,0.807291666666667,0.807291666666667
"279","P-1971-091-55",201,4.213125,6.69375
"283","P-1971-091-55",304,4.375,0
"277","P-1971-091-55",622,5.46875,0
"278","P-1971-091-55",642,1.09375,0
"284","P-1971-091-56",12,3.11942959001783,2.33957219251337
"288","P-1971-091-56",23,1768.42889054356,690.618019359643
"289","P-1971-091-56",40,5.10588235294118,1.27647058823529
"292","P-1971-091-56",41,1.59558823529412,0
"286","P-1971-091-56",112,8.23529411764706,1.02941176470588
"287","P-1971-091-56",201,3.08823529411765,4.11764705882353
"291","P-1971-091-56",241,1.02941176470588,0
"285","P-1971-091-56",306,1.02941176470588,0
"293","P-1971-091-56",410,7.20588235294118,0
"294","P-1971-091-57",12,73.6531986531986,42.7188552188552
"299","P-1971-091-57",23,5877.28551336146,734.880450070323
"300","P-1971-091-57",40,44.6055555555556,3.61666666666667
"301","P-1971-091-57",41,16.5763888888889,6.02777777777778
"295","P-1971-091-57",112,5.83333333333333,0.972222222222222
"298","P-1971-091-57",410,13.6111111111111,0.972222222222222
"296","P-1971-091-57",642,24.3055555555556,5.83333333333333
"303","P-1971-091-58",10,20.2279411764706,24.2735294117647
"302","P-1971-091-58",40,3.82941176470588,2.55294117647059
"304","P-1971-091-58",60,27.0897832817337,10.1586687306502
"309","P-1971-091-59",12,19.2837465564738,12.0523415977961
"307","P-1971-091-59",23,5.75373993095512,2.87686996547756
"311","P-1971-091-59",40,11.8363636363636,3.94545454545455
"312","P-1971-091-59",41,192.340909090909,93.7045454545455
"310","P-1971-091-59",60,2.0933014354067,1.04665071770335
"313","P-1971-091-59",201,11.1363636363636,11.1363636363636
"305","P-1971-091-59",202,1.59090909090909,1.59090909090909
"308","P-1971-091-59",501,1.59090909090909,0
"306","P-1971-091-59",642,4.77272727272727,0
"320","P-1971-091-60",10,32.9546875,24.3578125
"322","P-1971-091-60",40,54.25,24.4125
"319","P-1971-091-60",41,1.6953125,1.6953125
"321","P-1971-091-60",42,3.25037147102526,2.08730916030534
"323","P-1971-091-60",60,0.719572368421053,0
"324","P-1971-091-60",201,20.78125,17.5
"318","P-1971-091-60",300,6.5625,1.09375
"328","P-1971-091-61",10,16.1823529411765,14.8338235294118
"327","P-1971-091-61",40,8.93529411764706,3.82941176470588
"326","P-1971-091-61",60,0.677244582043344,0
"329","P-1971-091-61",201,5.14705882352941,7.20588235294118
"331","P-1971-091-62",12,5.3030303030303,2.65151515151515
"333","P-1971-091-62",23,33.7552742616034,2.10970464135021
"330","P-1971-091-62",40,41.9533333333333,7.23333333333333
"337","P-1971-091-62",41,9.04166666666667,5.425
"336","P-1971-091-62",201,1.16666666666667,3.5
"334","P-1971-091-62",202,1.16666666666667,0
"335","P-1971-091-62",642,2.33333333333333,0
"340","P-1971-091-63",10,2.865625,2.865625
"344","P-1971-091-63",11,1.09375,0
"346","P-1971-091-63",23,1.97784810126582,0
"342","P-1971-091-63",40,953.44375,105.7875
"341","P-1971-091-63",41,10.171875,6.78125
"338","P-1971-091-63",60,1.43914473684211,0.719572368421053
"347","P-1971-091-63",201,3.28125,3.28125
"348","P-1971-091-63",304,1.09375,0
"343","P-1971-091-63",642,4.375,1.09375
"349","P-1971-091-64",40,30.38,8.68
"353","P-1971-091-65",10,14.7375,4.9125
"354","P-1971-091-65",12,12.3106060606061,12.3106060606061
"358","P-1971-091-65",40,750.2,142.6
"357","P-1971-091-65",41,7.75,5.8125
"352","P-1971-091-65",60,185.855263157895,35.3618421052632
"356","P-1971-091-65",201,12.5,18.75
"363","P-1971-091-66",10,4.9125,1.6375
"365","P-1971-091-66",12,20.8333333333333,8.52272727272727
"360","P-1971-091-66",43,737.5525,243.915
"370","P-1971-091-66",62,27.5,6.25
"367","P-1971-091-66",63,18.4729064039409,0
"366","P-1971-091-66",204,13.75,21.25
"369","P-1971-091-66",300,28.75,5
"368","P-1971-091-66",301,1.25,1.25
"361","P-1971-091-66",320,15,15
"364","P-1971-091-66",640,2.5,2.5
"379","P-1971-091-67",10,32.364705882353,26.9705882352941
"376","P-1971-091-67",12,7.79857397504456,10.1381461675579
"380","P-1971-091-67",43,69.3483823529412,26.3045588235294
"375","P-1971-091-67",62,8.23529411764706,2.05882352941176
"377","P-1971-091-67",63,2.53549695740365,0
"371","P-1971-091-67",118,1.02941176470588,0
"373","P-1971-091-67",204,10.2941176470588,17.5
"374","P-1971-091-67",300,127.647058823529,26.7647058823529
"372","P-1971-091-67",320,28.8235294117647,24.7058823529412
"378","P-1971-091-67",640,1.02941176470588,2.05882352941176
"408","P-1972-106-1",10,63.6805555555556,57.3125
"411","P-1972-106-1",12,3.68265993265993,4.41919191919192
"414","P-1972-106-1",40,6.02777777777778,1.20555555555556
"412","P-1972-106-1",43,63.2372222222222,29.3601388888889
"413","P-1972-106-1",204,3.88888888888889,4.86111111111111
"410","P-1972-106-1",300,21.3888888888889,2.91666666666667
"409","P-1972-106-1",320,16.5277777777778,9.72222222222222
"468","P-1972-106-2",10,276.306578947368,415.063157894737
"469","P-1972-106-2",12,13.9553429027113,32.097288676236
"470","P-1972-106-2",43,55.6297368421053,25.6752631578947
"471","P-1972-106-2",62,182.368421052632,36.8421052631579
"467","P-1972-106-2",300,11.0526315789474,1.84210526315789
"466","P-1972-106-2",320,167.631578947368,145.526315789474
"520","P-1972-106-3",10,16.5569444444444,19.1041666666667
"522","P-1972-106-3",12,1.47306397306397,2.94612794612795
"521","P-1972-106-3",43,268.758194444444,101.63125
"644","P-1972-106-5",10,4.04558823529412,1.34852941176471
"642","P-1972-106-5",40,316.564705882353,70.2058823529412
"643","P-1972-106-5",60,8.12693498452012,2.70897832817337
"645","P-1972-106-5",201,4.11764705882353,6.1764705882353
"700","P-1972-106-6",10,130.807352941176,148.338235294118
"699","P-1972-106-6",40,19.1470588235294,11.4882352941176
"701","P-1972-106-6",201,3.08823529411765,6.1764705882353
"698","P-1972-106-6",300,2.05882352941176,0
"761","P-1972-106-7",10,9.43970588235294,9.43970588235294
"759","P-1972-106-7",40,54.8882352941177,11.4882352941176
"762","P-1972-106-7",42,52.0059435364042,17.6807364167041
"760","P-1972-106-7",201,4.11764705882353,6.1764705882353
"789","P-1972-106-8",10,6.03289473684211,3.61973684210526
"788","P-1972-106-8",11,15.6578947368421,6.44736842105263
"787","P-1972-106-8",12,3.48883572567783,1.39553429027113
"786","P-1972-106-8",23,8.32778147901399,0
"785","P-1972-106-8",41,4.75877192982456,3.39912280701754
"794","P-1972-106-9",11,0.760869565217391,0.760869565217391
"791","P-1972-106-9",12,0.576416337285902,0.576416337285902
"792","P-1972-106-9",23,2.75178866263071,0
"790","P-1972-106-9",40,0.943478260869565,0
"795","P-1972-106-9",41,3.53804347826087,2.35869565217391
"793","P-1972-106-9",202,0.760869565217391,0.760869565217391
"416","P-1972-106-10",10,1.34852941176471,1.34852941176471
"415","P-1972-106-10",12,8.57843137254902,7.79857397504456
"419","P-1972-106-10",23,35.3685778108712,3.72300819061802
"417","P-1972-106-10",41,11.1691176470588,7.97794117647059
"420","P-1972-106-10",410,1.02941176470588,0
"423","P-1972-106-11",10,22.925,38.6859375
"421","P-1972-106-11",23,9.88924050632911,0
"425","P-1972-106-11",40,1.35625,0
"422","P-1972-106-11",50,1.09375,1.09375
"424","P-1972-106-11",201,4.375,5.46875
"431","P-1972-106-12",10,6.11333333333333,10.6983333333333
"428","P-1972-106-12",23,6.32911392405063,0
"429","P-1972-106-12",40,46.2933333333333,26.04
"426","P-1972-106-12",42,1.73353145121347,2.2264631043257
"430","P-1972-106-12",201,10.5,8.16666666666667
"432","P-1972-106-13",10,4.82631578947368,3.61973684210526
"433","P-1972-106-13",40,15.9894736842105,9.13684210526316
"435","P-1972-106-13",201,1.84210526315789,1.84210526315789
"434","P-1972-106-13",300,1.84210526315789,0
"439","P-1972-106-14",10,31.1125,49.125
"440","P-1972-106-14",23,4.52079566003617,0
"438","P-1972-106-14",40,15.5,3.1
"436","P-1972-106-14",41,1.9375,0
"441","P-1972-106-14",50,1.25,2.5
"437","P-1972-106-14",201,7.5,8.75
"443","P-1972-106-16",10,40.11875,20.059375
"446","P-1972-106-16",11,1.09375,2.1875
"444","P-1972-106-16",40,17.63125,21.7
"445","P-1972-106-16",42,79.6341010401189,25.0477099236641
"447","P-1972-106-16",201,3.28125,1.09375
"448","P-1972-106-16",300,1.09375,0
"442","P-1972-106-16",320,3.28125,4.375
"449","P-1972-106-17",10,4.82631578947368,1.20657894736842
"450","P-1972-106-17",42,4.10573238445296,0
"452","P-1972-106-17",43,29.9544736842105,8.55842105263158
"451","P-1972-106-17",300,0.921052631578947,0
"456","P-1972-106-18",10,62.6616666666667,48.9066666666667
"458","P-1972-106-18",23,1719.40928270042,158.227848101266
"453","P-1972-106-18",41,5.425,1.80833333333333
"455","P-1972-106-18",201,1.16666666666667,1.16666666666667
"457","P-1972-106-18",642,4.66666666666667,1.16666666666667
"462","P-1972-106-19",10,119.21,153.5975
"463","P-1972-106-19",40,97.65,53.165
"460","P-1972-106-19",41,3.22916666666667,1.29166666666667
"465","P-1972-106-19",50,0.875,2.625
"461","P-1972-106-19",201,2.247,1.6065
"464","P-1972-106-19",202,2.247,1.071
"459","P-1972-106-19",640,1.75,2.625
"477","P-1972-106-20",10,62.0323529411765,51.2441176470588
"476","P-1972-106-20",40,5.10588235294118,5.10588235294118
"478","P-1972-106-20",41,3.19117647058824,1.59558823529412
"473","P-1972-106-20",201,1.02941176470588,1.02941176470588
"474","P-1972-106-20",304,5.14705882352941,0
"475","P-1972-106-20",340,1.02941176470588,0
"483","P-1972-106-21",12,2.20959595959596,0.736531986531986
"480","P-1972-106-21",23,258.438818565401,138.888888888889
"484","P-1972-106-21",112,1.94444444444444,0
"482","P-1972-106-21",201,0.972222222222222,0
"479","P-1972-106-21",202,2.91666666666667,0.972222222222222
"481","P-1972-106-21",410,1.94444444444444,0
"491","P-1972-106-22",10,1.6375,1.6375
"489","P-1972-106-22",12,9.46969696969697,3.78787878787879
"493","P-1972-106-22",16,1.25,1.25
"488","P-1972-106-22",23,730.108499095841,386.528028933092
"486","P-1972-106-22",31,1.25,2.5
"494","P-1972-106-22",41,5.8125,0
"492","P-1972-106-22",112,3.75,0
"487","P-1972-106-22",201,8.75,13.75
"485","P-1972-106-22",202,5,1.25
"490","P-1972-106-22",410,8.75,0
"495","P-1972-106-23",10,25.6220588235294,39.1073529411765
"497","P-1972-106-24",40,31.9117647058824,11.4882352941176
"496","P-1972-106-24",201,2.05882352941176,3.08823529411765
"498","P-1972-106-24",202,1.02941176470588,1.02941176470588
"500","P-1972-106-25",10,8.91527777777778,6.36805555555556
"503","P-1972-106-25",40,57.8666666666667,26.5222222222222
"501","P-1972-106-25",42,41.8936767376589,12.9877014418999
"499","P-1972-106-25",201,2.91666666666667,2.91666666666667
"502","P-1972-106-25",300,15.5555555555556,1.94444444444444
"504","P-1972-106-27",10,196.136111111111,140.097222222222
"511","P-1972-106-27",40,75.95,75.95
"509","P-1972-106-27",42,89.5889053987122,34.3803011026293
"506","P-1972-106-27",43,146.800694444444,60.97875
"507","P-1972-106-27",201,3.32888888888889,5.95
"510","P-1972-106-27",300,5.94222222222222,1.66736111111111
"508","P-1972-106-27",320,2.91666666666667,1.94444444444444
"515","P-1972-106-28",10,54.7652777777778,42.0291666666667
"513","P-1972-106-28",40,156.722222222222,37.3722222222222
"514","P-1972-106-28",60,8.9546783625731,2.55847953216374
"512","P-1972-106-28",201,0.972222222222222,1.94444444444444
"518","P-1972-106-29",10,4.585,2.2925
"517","P-1972-106-29",40,333.095,64.015
"519","P-1972-106-29",60,0.575657894736842,0
"516","P-1972-106-29",300,1.75,0
"523","P-1972-106-30",10,12.7361111111111,12.7361111111111
"525","P-1972-106-30",40,318.266666666667,102.472222222222
"524","P-1972-106-30",201,0.972222222222222,1.94444444444444
"527","P-1972-106-31",10,8.02375,24.07125
"526","P-1972-106-31",40,32.55,6.51
"529","P-1972-106-32",10,36.1973684210526,26.5447368421053
"532","P-1972-106-32",12,2.0933014354067,4.88437001594896
"531","P-1972-106-32",40,9.13684210526316,2.28421052631579
"528","P-1972-106-32",42,2.21025260029718,0.957965046203294
"533","P-1972-106-32",60,9.69529085872576,3.0297783933518
"530","P-1972-106-32",201,0.788421052631579,1.12736842105263
"534","P-1972-106-32",640,0.921052631578947,0.921052631578947
"536","P-1972-106-33",10,43.3027777777778,29.2930555555556
"538","P-1972-106-33",40,532.855555555556,150.694444444444
"540","P-1972-106-33",42,1.39982664685488,1.01118532654792
"535","P-1972-106-33",60,5.75657894736842,1.91885964912281
"539","P-1972-106-33",201,0.416111111111111,0.595
"537","P-1972-106-33",640,2.91666666666667,0.972222222222222
"543","P-1972-106-36",10,20.3777777777778,19.1041666666667
"544","P-1972-106-36",40,16.8777777777778,7.23333333333333
"547","P-1972-106-37",10,9.43970588235294,16.1823529411765
